question,answer
マウスが不調で直せそうにない,"☆ノートPC用マウスの場合
 
  　代替マウスがあるので
壊れたマウスをご持参の上、情シスまでお越し下さい。
 　　マウスは1個700円で購入した物です！　壊さないように、大事にお取り扱い下さい！
 ☆デスク用マウスの場合
  　まずは情シスにご連絡下さい。
  　宛先：itsystems@septeni-holdings.co.jp
  　こちらで知りたい情報は以下になります。
  　①PC番号（PC本体のシールで確認できます）
  　②マウスの状態（なるべく具体的に）
  　③他メンバーのPCで壊れたマウスが使えるか"
マウスがだめになった,"☆ノートPC用マウスの場合
 
  　代替マウスがあるので
壊れたマウスをご持参の上、情シスまでお越し下さい。
 　　マウスは1個700円で購入した物です！　壊さないように、大事にお取り扱い下さい！
 ☆デスク用マウスの場合
  　まずは情シスにご連絡下さい。
  　宛先：itsystems@septeni-holdings.co.jp
  　こちらで知りたい情報は以下になります。
  　①PC番号（PC本体のシールで確認できます）
  　②マウスの状態（なるべく具体的に）
  　③他メンバーのPCで壊れたマウスが使えるか"
マウスで動かない,"☆ノートPC用マウスの場合
 
  　代替マウスがあるので
壊れたマウスをご持参の上、情シスまでお越し下さい。
 　　マウスは1個700円で購入した物です！　壊さないように、大事にお取り扱い下さい！
 ☆デスク用マウスの場合
  　まずは情シスにご連絡下さい。
  　宛先：itsystems@septeni-holdings.co.jp
  　こちらで知りたい情報は以下になります。
  　①PC番号（PC本体のシールで確認できます）
  　②マウスの状態（なるべく具体的に）
  　③他メンバーのPCで壊れたマウスが使えるか"
マウストラブル,"☆ノートPC用マウスの場合
 
  　代替マウスがあるので
壊れたマウスをご持参の上、情シスまでお越し下さい。
 　　マウスは1個700円で購入した物です！　壊さないように、大事にお取り扱い下さい！
 ☆デスク用マウスの場合
  　まずは情シスにご連絡下さい。
  　宛先：itsystems@septeni-holdings.co.jp
  　こちらで知りたい情報は以下になります。
  　①PC番号（PC本体のシールで確認できます）
  　②マウスの状態（なるべく具体的に）
  　③他メンバーのPCで壊れたマウスが使えるか"
マウス修理が必要,"☆ノートPC用マウスの場合
 
  　代替マウスがあるので
壊れたマウスをご持参の上、情シスまでお越し下さい。
 　　マウスは1個700円で購入した物です！　壊さないように、大事にお取り扱い下さい！
 ☆デスク用マウスの場合
  　まずは情シスにご連絡下さい。
  　宛先：itsystems@septeni-holdings.co.jp
  　こちらで知りたい情報は以下になります。
  　①PC番号（PC本体のシールで確認できます）
  　②マウスの状態（なるべく具体的に）
  　③他メンバーのPCで壊れたマウスが使えるか"
マウス使えない,"☆ノートPC用マウスの場合
 
  　代替マウスがあるので
壊れたマウスをご持参の上、情シスまでお越し下さい。
 　　マウスは1個700円で購入した物です！　壊さないように、大事にお取り扱い下さい！
 ☆デスク用マウスの場合
  　まずは情シスにご連絡下さい。
  　宛先：itsystems@septeni-holdings.co.jp
  　こちらで知りたい情報は以下になります。
  　①PC番号（PC本体のシールで確認できます）
  　②マウスの状態（なるべく具体的に）
  　③他メンバーのPCで壊れたマウスが使えるか"
マウスの異常,"☆ノートPC用マウスの場合
 
  　代替マウスがあるので
壊れたマウスをご持参の上、情シスまでお越し下さい。
 　　マウスは1個700円で購入した物です！　壊さないように、大事にお取り扱い下さい！
 ☆デスク用マウスの場合
  　まずは情シスにご連絡下さい。
  　宛先：itsystems@septeni-holdings.co.jp
  　こちらで知りたい情報は以下になります。
  　①PC番号（PC本体のシールで確認できます）
  　②マウスの状態（なるべく具体的に）
  　③他メンバーのPCで壊れたマウスが使えるか"
マウス操作不能,"☆ノートPC用マウスの場合
 
  　代替マウスがあるので
壊れたマウスをご持参の上、情シスまでお越し下さい。
 　　マウスは1個700円で購入した物です！　壊さないように、大事にお取り扱い下さい！
 ☆デスク用マウスの場合
  　まずは情シスにご連絡下さい。
  　宛先：itsystems@septeni-holdings.co.jp
  　こちらで知りたい情報は以下になります。
  　①PC番号（PC本体のシールで確認できます）
  　②マウスの状態（なるべく具体的に）
  　③他メンバーのPCで壊れたマウスが使えるか"
マウス破損,"☆ノートPC用マウスの場合
 
  　代替マウスがあるので
壊れたマウスをご持参の上、情シスまでお越し下さい。
 　　マウスは1個700円で購入した物です！　壊さないように、大事にお取り扱い下さい！
 ☆デスク用マウスの場合
  　まずは情シスにご連絡下さい。
  　宛先：itsystems@septeni-holdings.co.jp
  　こちらで知りたい情報は以下になります。
  　①PC番号（PC本体のシールで確認できます）
  　②マウスの状態（なるべく具体的に）
  　③他メンバーのPCで壊れたマウスが使えるか"
マウスが壊れた,"☆ノートPC用マウスの場合
 
  　代替マウスがあるので
壊れたマウスをご持参の上、情シスまでお越し下さい。
 　　マウスは1個700円で購入した物です！　壊さないように、大事にお取り扱い下さい！
 ☆デスク用マウスの場合
  　まずは情シスにご連絡下さい。
  　宛先：itsystems@septeni-holdings.co.jp
  　こちらで知りたい情報は以下になります。
  　①PC番号（PC本体のシールで確認できます）
  　②マウスの状態（なるべく具体的に）
  　③他メンバーのPCで壊れたマウスが使えるか"
マウスが故障しました,"☆ノートPC用マウスの場合
 
  　代替マウスがあるので
壊れたマウスをご持参の上、情シスまでお越し下さい。
 　　マウスは1個700円で購入した物です！　壊さないように、大事にお取り扱い下さい！
 ☆デスク用マウスの場合
  　まずは情シスにご連絡下さい。
  　宛先：itsystems@septeni-holdings.co.jp
  　こちらで知りたい情報は以下になります。
  　①PC番号（PC本体のシールで確認できます）
  　②マウスの状態（なるべく具体的に）
  　③他メンバーのPCで壊れたマウスが使えるか"
マウスが使えなくなりました,"☆ノートPC用マウスの場合
 
  　代替マウスがあるので
壊れたマウスをご持参の上、情シスまでお越し下さい。
 　　マウスは1個700円で購入した物です！　壊さないように、大事にお取り扱い下さい！
 ☆デスク用マウスの場合
  　まずは情シスにご連絡下さい。
  　宛先：itsystems@septeni-holdings.co.jp
  　こちらで知りたい情報は以下になります。
  　①PC番号（PC本体のシールで確認できます）
  　②マウスの状態（なるべく具体的に）
  　③他メンバーのPCで壊れたマウスが使えるか"
パスワードの変更をしたい,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
パスワードの変更方法を知りたい,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
パスワードを変えるためにはどうすれば,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
パスワードの再設定の手順を知りたい,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
暗証変更をしたい,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
ログイン名の下に入力する文字を変えたい,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
パスワードを変えるよう言われたが方法がわからない,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
パス変更したい,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
PASS変更したい,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
パスワード変え方が知りたい,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
パスワードー変えるには,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
パスワードを違うものにしたい,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
パスワードの変え方がわからない,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
パスワードの変更する方法,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
パスワードの変えるには,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
パスワードの再登録,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
パスワード変更,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
パスワード再登録,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
違うパスワードに再設定,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
新パスワードに更新する,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
ログイン用暗証変更,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
ログインの合言葉を変える,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
PWDリセットする,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
パス変更の仕方,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
PASS変更の仕方,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
パスワード変え方,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
パスワードの再設定,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
パスワード交換,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
パスワード入れ替え,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
パスワードリセット,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
パスワードを変える,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
パスワードを変えるには,"＜注意＞・情シスから貸与されているPCをご利用の方向けの手順です。
・必ず日本国内の社内ネットワークに接続して下さい。
・国外出張や在宅勤務、出向などでどうしても社内ネットワークに接続できない場合は
http://faq.septeni.jp/index.php?doc_no=245をご確認ください。
・パスワード変更すると、KUNAI（サイボウズアプリ）のパスワードも変更されます。
KUNAIを利用している方は変更を忘れずに行って下さい。
＜手順＞1.Ctrl　+　Alt　+　Delキーを押して、[パスワードの変更]ボタン選択2.パスワードをそれぞれの項目に入力"
辞書で登録していた単語が消えた,"1.言語バー　の　ツール　＞　プロパティ　
2.辞書/学習　＞　修復
 以下、上記の手順で解決されなかった方
3.参照4.新しいファイル名（拡張子は　.dic）を　入力して開く
 また、使用している辞書ファイルをコピーして保存しておくことで
バックアップをとることが可能
 
もしもの為にバックアップをしておく事をお勧めします"
登録済みだった単語が見つからない,"1.言語バー　の　ツール　＞　プロパティ　
2.辞書/学習　＞　修復
 以下、上記の手順で解決されなかった方
3.参照4.新しいファイル名（拡張子は　.dic）を　入力して開く
 また、使用している辞書ファイルをコピーして保存しておくことで
バックアップをとることが可能
 
もしもの為にバックアップをしておく事をお勧めします"
登録していたはずの単語が探せません,"1.言語バー　の　ツール　＞　プロパティ　
2.辞書/学習　＞　修復
 以下、上記の手順で解決されなかった方
3.参照4.新しいファイル名（拡張子は　.dic）を　入力して開く
 また、使用している辞書ファイルをコピーして保存しておくことで
バックアップをとることが可能
 
もしもの為にバックアップをしておく事をお勧めします"
辞書で登録済みの単語を確認する,"1.言語バー　の　ツール　＞　プロパティ　
2.辞書/学習　＞　修復
 以下、上記の手順で解決されなかった方
3.参照4.新しいファイル名（拡張子は　.dic）を　入力して開く
 また、使用している辞書ファイルをコピーして保存しておくことで
バックアップをとることが可能
 
もしもの為にバックアップをしておく事をお勧めします"
日本語変換のユーザ辞書単語がなくなった,"1.言語バー　の　ツール　＞　プロパティ　
2.辞書/学習　＞　修復
 以下、上記の手順で解決されなかった方
3.参照4.新しいファイル名（拡張子は　.dic）を　入力して開く
 また、使用している辞書ファイルをコピーして保存しておくことで
バックアップをとることが可能
 
もしもの為にバックアップをしておく事をお勧めします"
登録していた単語は復活できないのか,"1.言語バー　の　ツール　＞　プロパティ　
2.辞書/学習　＞　修復
 以下、上記の手順で解決されなかった方
3.参照4.新しいファイル名（拡張子は　.dic）を　入力して開く
 また、使用している辞書ファイルをコピーして保存しておくことで
バックアップをとることが可能
 
もしもの為にバックアップをしておく事をお勧めします"
システムに登録していたユーザ設定語が消えた,"1.言語バー　の　ツール　＞　プロパティ　
2.辞書/学習　＞　修復
 以下、上記の手順で解決されなかった方
3.参照4.新しいファイル名（拡張子は　.dic）を　入力して開く
 また、使用している辞書ファイルをコピーして保存しておくことで
バックアップをとることが可能
 
もしもの為にバックアップをしておく事をお勧めします"
登録済み単語が消滅,"1.言語バー　の　ツール　＞　プロパティ　
2.辞書/学習　＞　修復
 以下、上記の手順で解決されなかった方
3.参照4.新しいファイル名（拡張子は　.dic）を　入力して開く
 また、使用している辞書ファイルをコピーして保存しておくことで
バックアップをとることが可能
 
もしもの為にバックアップをしておく事をお勧めします"
登録済み単語が消えた,"1.言語バー　の　ツール　＞　プロパティ　
2.辞書/学習　＞　修復
 以下、上記の手順で解決されなかった方
3.参照4.新しいファイル名（拡張子は　.dic）を　入力して開く
 また、使用している辞書ファイルをコピーして保存しておくことで
バックアップをとることが可能
 
もしもの為にバックアップをしておく事をお勧めします"
登録済み単語がなくなった,"1.言語バー　の　ツール　＞　プロパティ　
2.辞書/学習　＞　修復
 以下、上記の手順で解決されなかった方
3.参照4.新しいファイル名（拡張子は　.dic）を　入力して開く
 また、使用している辞書ファイルをコピーして保存しておくことで
バックアップをとることが可能
 
もしもの為にバックアップをしておく事をお勧めします"
辞書に入れていた単語がなくなった,"1.言語バー　の　ツール　＞　プロパティ　
2.辞書/学習　＞　修復
 以下、上記の手順で解決されなかった方
3.参照4.新しいファイル名（拡張子は　.dic）を　入力して開く
 また、使用している辞書ファイルをコピーして保存しておくことで
バックアップをとることが可能
 
もしもの為にバックアップをしておく事をお勧めします"
辞書登録の単語が消えた,"1.言語バー　の　ツール　＞　プロパティ　
2.辞書/学習　＞　修復
 以下、上記の手順で解決されなかった方
3.参照4.新しいファイル名（拡張子は　.dic）を　入力して開く
 また、使用している辞書ファイルをコピーして保存しておくことで
バックアップをとることが可能
 
もしもの為にバックアップをしておく事をお勧めします"
辞書に入れた言葉がない,"1.言語バー　の　ツール　＞　プロパティ　
2.辞書/学習　＞　修復
 以下、上記の手順で解決されなかった方
3.参照4.新しいファイル名（拡張子は　.dic）を　入力して開く
 また、使用している辞書ファイルをコピーして保存しておくことで
バックアップをとることが可能
 
もしもの為にバックアップをしておく事をお勧めします"
辞書で登録していた単語がなくなりました,"1.言語バー　の　ツール　＞　プロパティ　
2.辞書/学習　＞　修復
 以下、上記の手順で解決されなかった方
3.参照4.新しいファイル名（拡張子は　.dic）を　入力して開く
 また、使用している辞書ファイルをコピーして保存しておくことで
バックアップをとることが可能
 
もしもの為にバックアップをしておく事をお勧めします"
登録済みの単語が探せません,"1.言語バー　の　ツール　＞　プロパティ　
2.辞書/学習　＞　修復
 以下、上記の手順で解決されなかった方
3.参照4.新しいファイル名（拡張子は　.dic）を　入力して開く
 また、使用している辞書ファイルをコピーして保存しておくことで
バックアップをとることが可能
 
もしもの為にバックアップをしておく事をお勧めします"
