Id,質問,Answer
18684,海外出張精算で提出したホテルの領収書のコピーがほしい場合どうしたらいいですか？,海外出張精算で提出した領収書については、倉庫に保管されてる場合があるので、前もってTHR担当者にご連絡いただきTHRにコピーをとりにいらしてください。
18685,ビザ（VISA）の勘定科目は、なんですか？,ビザ（VISA）取得代の勘定科目は、9238の支払手数料となります。　9311の入出国空港税ではありませんので、ご注意ください。
18686,海外で申請した登記申請手数料の勘定科目は、なんですか？,海外で申請した登記申請手数料の勘定科目は、9238支払手数料です。
18687,インドネシアのビザ（VISA）代の勘定科目を教えてほしい。,ビザ（VISA）の勘定科目は、9238支払手数料です。
18688,出張申請した出張期間内に一度日本に帰国し、再渡航した場合はどうすればいいか。,出張期間中に一旦帰国し、再渡航した場合については、申請済みの出張申請の帰国日を、一度日本に帰国した日にし、再渡航した日を出発日として新規でもう一つ申請をあげてください。
18689,海外出張で日本円で支払った場合は、費用計算書に入れてもいいですか？,海外出張で円貨で支払った場合は、SAPの立替精算にて処理してください。
18690,海外出張精算完了後に海外使用の領収書が追加で出てきた場合どうしたらいいですか？,既に精算完了済で精算漏れした分の領収書については、費用計算書を作成添付して、SAPの立替精算にて処理してください。
18691,ESTA（エスタ）代は、海外出張費用計算書にいれてもいいですか？,"海外出張に伴うESTA（エスタ）代およびETA代の精算については、SAPの立替金精算で精算してください。詳細はTTCライブラリーのこちらを確認してください。（ESTA/ETA同様の手順）
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/T033444?OpenDocument"
18692,費用計算書がエラーになって合計金額が出ない。,"海外出張費用計算書で合計欄がエラーになった場合は、日当日額や金額等に手入力で「＄」「，ｶﾝﾏ」を付けていたことが原因と考えられます。
金額欄には、「数字」や「.　（ﾃﾝ）」以外は入力しないでください。"
18693,海外出張精算の費用明細が全部印刷するには、どうしたらいいですか？,海外出張精算の費用計算書の印刷については、印刷範囲を指定して印刷してください。
18694,海外出張費精算の費用を他の部署も負担する場合どうしたらいいですか？,"海外出張費用を自部署と他部署で分けて精算する場合は、海外出張精算システムの費用負担方法箇所で負担方法を選択してください。

詳しくは次のTTCライブラリーの「海外出張旅費システムマニュアル」にて確認ください。
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/T031295?OpenDocument"
18695,海外出張中に現地で発生した費用を、現地駐在員が立替えた場合の精算方法を教えてください。,海外出張中に現地で発生した費用を、現地駐在員が立て替えた場合の精算方法は、SAPの立替金精算で精算してください。精算レートは該当の出張の帰国日です。
18696,海外出張時に発生した費用で、現地法人に請求がいくはずのホテル代が、自分のクレジットカードから引き落とされていた。既に出張精算は完了しているが、どうしたらよいか。,既に精算完了済で精算漏れした分の領収書については、費用計算書を作成添付して、SAPの立替精算にて処理してください。
18697,海外出張精算済みの費用負担先を変更したい場合どうしたらいいですか？,"精算済みの海外出張旅費の費用負担先Gを変更したい場合は、出張No,、出張者、変更する金額、勘定科目、変更先のGコードを記載して、THR担当者までメールでご依頼ください。"
18698,ESTA（エスタ）代とETA代は海外出張費用計算書に入れてもいいか。,"海外出張に伴うESTA（エスタ）代およびETA代の精算については、SAPの立替金精算で精算してください。詳細はTTCライブラリーのこちらを確認してください。（ESTA/ETA同様の手順）
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/T033444?OpenDocument"
18699,海外出張で日当のみの場合は、費用計算書を提出する必要は、ありますか？,海外出張時に日当のみの精算であっても、海外出張費用計算書は提出してください。
18700,海外出張時の保険の補償詳細は、なんですか？,"海外出張時の会社付保の保険内容は、以下の通りです。

保険会社：三井住友海上（株）
証券番号：E806142772
傷害後遺障害補償：10万円
救援者費用：1,000万円
レンタカー特約（アメリカ・カナダに限る）

なお、更に詳しい補償内容や任意保険の補償内容等を知りたい方は、豊通保険パートナーズ�の団体営業第二部　団体保険営業グループへお問合せください。"
18701,海外出張時のホテルの領収書を紛失した場合どうすればいいですか？,海外出張時のホテルの領収書を紛失した場合は、ホテルに再発行を依頼してください。
18702,出向者受入者ですが、初めて海外出張した、海外出張申請時に支度金有無の項目が表示されない。支度金は申請できますか。,出向受入者の海外出張時の支度金については、電子申請画面に表示されないので、上長よりTHR担当者あてにメールにて支払いの依頼を送信してください。その際に該当者の社員番号と氏名、経費負担部署を明記してください。
18703,出張旅費の担当者が知りたい,"出張旅費の担当者は以下の通りとなります。

・国内出張旅費　名古屋THR：青山、小川　東京THR：平野
・海外出張旅費　名古屋THR：菊池　東京THR：平野、村田

なお、海外規制地域の出張問い合わせについては、名古屋THR労務厚生部労務グループとなります。"
18704,ESTA（エスタ）代とETA代は、海外出張精算してもいいですか？,"海外出張に伴うESTA（エスタ）代およびETA代の精算については、SAPの立替金精算で精算してください。詳細はTTCライブラリーのこちらを確認してください。（ESTA/ETA同様の手順）
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/T033444?OpenDocument"
18705,海外出張精算で、費用計算書のその他の勘定科目が２つ以上になった場合は、どのように精算すればいいですか？,海外出張精算で費用計算書のその他の勘定科目が２つ以上の場合、１つは、海外出張システムで精算し２つめ以上は、SAPの立替精算で処理してください。立替精算依頼書には費用計算書も添付してください。
18706,出向先より請求書にて出向者の海外出張旅費を請求された場合どうしたらいいですか？,出向先から請求書にて請求された出向者の海外出張旅費は、SAPの経費支払依頼書で処理してください。
18707,海外出張精算のレートは、どこでみればいいですか？,"海外出張精算のレートは、下記1から3の順番にて適用してください。                                                      
1.　次のURLより確認してください
http://www.murc-kawasesouba.jp/fx/index.php   
2.　上記1.で確認できない場合は、TWINSの財務企画部ＴＦＮ                 
　　　《TOYOTSU FINANCIAL NEWS》に                                  
  　　　掲載されている『社内レート』を確認                          
  　　　⇒TOYOTSU FINANCIAL NEWS 社内レート                         
  　　　　※（前月のTTMレートの平均値が、社内レートとなります）     
3.　上記2.でも確認できない場合・・・・・                                
  　※　現地通貨に両替した際のレートを使用ください                    
  　　　　　　（エビデンス、両替書を添付）                          
  　※　次のOANDAのURLより確認してくださいhttp://www.oanda.com/currency/classic-converter
"
18708,海外出張の精算届の実績を、データとして抽出できますか？,海外出張の精算届のデータはTHRでは抽出できません。豊通シスコムにメンテナンス依頼書を提出して依頼できます。
18709,海外出張旅費精算の費用計算書の円貨換算の根拠を知りたい。,"海外出張旅費精算の費用計算書の円貨換算額の根拠を知りたい方は、次のTTCライブラリー「【海外出張旅費精算】費用計算書」の中の、費用計算書（Excel）の中にある「費用計算の概要」シートをご確認下さい。

https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/T005659?OpenDocument"
18710,海外出張精算で、6年前の2011年7月〜9月分の宿泊先を確認したい,海外出張精算の過去の書類や領収書は、保管庫より取り寄せとなりますので2日程度お時間をいただきます。なお、保管期間は7年間となりますのでご了承下さい。
18711,海外出張時にお客様と空港ラウンジを使用し打合せした場合の勘定科目は？,海外出張時にお客様と空港ラウンジを使用し打合せした場合の勘定科目は、9152会議費で処理して下さい。なお、「会議費交際費明細」も添付して下さい。
18712,海外出張精算でホテルの領収書を失くし、取り寄せに時間がかかるがどうしたらよいか,海外出張精算でホテルの領収書を失くした場合であっても、領収書は原則はオリジナル提出が必須となりますので、再発行で取り寄せできるのであればお願いします。なお、再発行が難しいようであれば、クレジットカードの明細でも処理は可能です。
18713,海外出張で宿泊代の明細を確認したら朝食やミニバー（Mini Bar）が請求されていた、精算できるの？,海外出張時のホテル代の精算について、朝食代、ミニバー（Ｍｉｎｉ Ｂａｒ）、クリーニングﾞ代は、原則として個人負担となります。
18714,四半期決算月の海外出張旅費計算書（領収書）の提出期限はいつですか？,四半期決算月の海外出張旅費計算書（領収書）の提出期限は、原則として翌月第一営業日の午前中です。
18715,JAL明細を確認したいがいつになりますか,JAL明細については、第3営業日にSAPで確認することができます。
18716,海外出張精算で、円貨払い分は費用計算書に含めて精算してもいいですか？,海外出張精算で円貨払いがある場合、「費用計算書」は外貨払い分のみですので円貨払い分は含められません。円貨払いはSAP立替金精算で処理下さい。
18717,海外出張でESTA（エスタ）取得の円貨払いの精算方法は？,"海外出張に伴うESTA（エスタ）代およびETA代の精算については、SAPの立替金精算で精算してください。詳細はTTCライブラリーのこちらを確認してください。（ESTA/ETA同様の手順）
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/T033444?OpenDocument"
18718,ESTA（エスタ）の精算は、なぜ14ドルなの？,"ESTA（電子渡航認証システム）に申請すると14ドルです。無許可の第三者の模倣ウェブサイトで申請すると手数料など請求されますが差額は自己負担となります。

なおESTA（エスタ）の精算処理方法については、次のTTCライブラリーに掲載していますので、ご参照ください。
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/T033444?OpenDocument"
18719,ESTA（エスタ）を申請する場合、TTCライブラリーのどこに掲載されてるの？,"海外出張に伴うESTA（エスタ）代およびETA代の精算については、SAPの立替金精算で精算してください。詳細はTTCライブラリーのこちらを確認してください。（ESTA/ETA同様の手順）
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/T033444?OpenDocument"
18720,海外出張中に現地で円貨で支払ったが精算方法は？,海外出張精算で円貨払いがある場合、「費用計算書」は外貨払い分のみですので円貨払い分は含められません。円貨払いはSAP立替金精算で処理下さい。
18721,ビザ（VISA）の領収書をなくしてしまったのですが、パスポートの添付してある部分のコピーでもいいですか？,ビザ（VISA）の領収書をなくしてしまった場合は、パスポートのビザのコピーを代用して結構です。
18722,海外出張旅費精算の申請で、一部費用を他の部署に振るときは、どうしたらいいでしょうか？,海外出張旅費精算の申請で、一部費用を他部署の負担としたい場合は、精算届の費用負担方法を『所属Gコードと他Gコードで負担』にして、費用を振り分けたい他Gコードを入力してください。費用明細欄は、所属G・他Gのそれぞれの負担額を入力してください。
18723,３ヶ月の海外出張の場合の出張費精算の仕方は、どうやりますか？,"1ヶ月以上の海外出張精算については、原則、1ヶ月ごとに途中精算することになります。
途中精算する際に、通常の出張システムで精算してしまうと、帰国したことになってしまいます。
そのため、通常通り、海外出張費用計算書を作成したら、部署の方に計算書をメールで送付いただき、SAPの立替精算処理をして下さい。
また、領収書は必ずオリジナルを添付となりますので、部署宛に郵送してください。※レートは精算月の社内レートを使用。

部署の方は、「立替精算依頼書」に費用計算書と領収書を添付の上、ＴＨＲ各拠店の担当まで提出して下さい。

帰国された際は、最終の精算のため、通常通り、海外出張システムの精算届を作成して下さい。精算届作成時の出張期間は、実際の出発日・帰国日となりますが、
日当支給日数は、途中精算した日数を引いてください。

なお、同一国に長期出張する際の日数制限（183日ルール）には抵触しないようご注意ください。詳細については次のTTCライブラリーをご参照ください。 
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/GG004981?OpenDocument"
18724,ESTA（エスタ）の１４ドルの精算レートは、なんですか？,"ESTA（エスタ）の１４ドルの精算レートは、申請月の社内レートです。なお、クレジットカードの請求額書コピーの添付により、請求実費でも精算可です。

詳細は次のTTCライブラリーを参照ください。（ESTA/ETA同様の手順）
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/T033444?OpenDocument"
18725,海外で接待飲食代を取引先が一部負担してくれた場合や割勘された場合で、これら先方負担金額を除いて請求されたときの勘定科目は、どうしたらいいでしょうか？,"接待飲食代を取引先が一部負担してくれた場合や割勘された場合であっても、原則としてこれらの金額も含めた総額を参加人数で割って、実際の１人あたりの飲食代が5,000円以下か超過するかを確認した上で、交際費明細を添付して914Y交際費（50%損金算入海外）又は914B交際費（海外損金算入）にて処理します。
"
18726,海外出張時のレンタカーの許可申請書は、ありますか？,"海外出張時におけるレンタカーの許可申請書はありませんが、海外出張者向け安全ハンドブックにある8ページ目「※外国においては、交通事故のリスクが高いため、出張者の車の運転は原則として認めない。やむなく運転せざるを得ない場合は、所属部長及び、出張先拠点長の承認を取り付けること。」に記載のとおり、所属部長及び出張先拠点長の承認を取り付けてください。

なお、海外出張者向け安全ハンドブックは次のTTCライブラリーに記載していますので、ご確認ください。
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/GG001803?OpenDocument"
18728,海外出張精算を申請したいんですが、CFFのTTSレートがOANDAにもない場合どうしたらいいですか？," 海外出張精算で、oandaにも掲載の無いレートがある場合には、両替したレート又はクレジットカードの決済レートを使用してください。

　【参考】　oandaは、英文のものです。日付け　（帰国日）を入力して、それぞれの項目に以下の様に入力してください。
　　　・左側・・　手元にある通貨（外貨）　を選択
　　　・右側・・　必要な通貨（Japanese Yen、ＪＰＹ）　を選択　
　　　・【Cｏｎｖｅｒｔ　Ｎｏｗ】　をクリック
　　　・「Yｏｕ　buy・・」のレートを見てください。　
　　You bｕｙ・・（顧客が買う）　・・・　銀行側のTTＳレート
　　You sell・・（顧客が売る）　・・・　銀行側のTTＢレート　
 　★TTSレートとは、銀行が顧客に外貨を売るレート。
　　　（顧客側からは銀行から外貨を買うレート。）"
18729,"海外出張のための航空券を国内で手配し、キャンセルしました。
国内手配分なので国内出張システムを利用し申請して良いですか？","国内で手配した海外出張のための航空券精算について、国内で手配した航空券であっても、海外出張用航空券のキャンセル料は海外出張旅費となります。
勘定科目は9161海外出張旅費にて、立替金精算依頼書または経費支払依頼書を作成下さい。"
18730,"海外出張時に前泊が必要となり、日本国内のホテルに宿泊しました。
高額だったのですが、精算出来ますか？",海外出張時に前泊が必要となった場合の国内ホテル代については、規定の宿泊費を上限として精算可能です。規定以上の金額については自己負担となります。
18731,海外出張から帰国した日の日当はどうなりますか？,海外出張旅費規定による日当となります。国内出張システムでの精算は不可です。
18732,環境省へ領収書原本を提出する必要があるため、提出済みの領収書を返却してほしい,海外出張精算で、領収書原本の返却をご希望の方は、倉庫から取り寄せますので、出張番号をTHR担当者へ連絡して下さい。入手次第あらためて連絡しますのでお待ち下さい。なおTHR保管がコピーとなる依頼書を作成下さい。
18733,海外出張精算したいが、レートがTWINSのどこにあるのか解らない,"海外出張精算のレートは、下記�から�の順番にて適用してください。                                                      
1.　次のURLより確認してください
http://www.murc-kawasesouba.jp/fx/index.php   
2.　上記1で確認できない場合は、TWINSの財務企画部ＴＦＮ                 
　　　《TOYOTSU FINANCIAL NEWS》に                                  
  　　　掲載されている『社内レート』を確認                          
  　　　⇒TOYOTSU FINANCIAL NEWS 社内レート                         
  　　　　※（前月のTTMレートの平均値が、社内レートとなります）     
3.　上記2でも確認できない場合・・・・・                                
  　※　現地通貨に両替した際のレートを使用ください                    
  　　　　　　（エビデンス、両替書を添付）                          
  　※　次のOANDAのURLより確認してください
http://www.oanda.com/currency/classic-converter
"
18734,１ヶ月以上の長期海外出張の場合の精算処理方法は？,"1ヶ月以上の海外出張精算については、原則、1ヶ月ごとに途中精算することになります。
途中精算する際に、通常の出張システムで精算してしまうと、帰国したことになってしまいます。
そのため、通常通り、海外出張費用計算書を作成したら、部署の方に計算書をメールで送付いただき、SAPの立替精算処理をして下さい。
また、領収書は必ずオリジナルを添付となりますので、部署宛に郵送してください。

部署の方は、「立替精算依頼書」に費用計算書と領収書を添付の上、ＴＨＲ各拠店の担当まで提出して下さい。

帰国された際は、最終の精算のため、通常通り、海外出張システムの精算届を作成して下さい。精算届作成時の出張期間は、実際の出発日・帰国日となりますが、
日当支給日数は、途中精算した日数を引いてください。

なお、同一国に長期出張する際の日数制限（183日ルール）には抵触しないようご注意ください。詳細については次のTTCライブラリーをご参照ください。 
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/GG004981?OpenDocument"
18735,海外出張の際に同行者（TTC社員）の宿泊代を立て替えた場合の処理は？,"海外出張に同行したTTC社員の宿泊代を立替えた場合には、その分も含めて海外出張システムの精算届で、一緒に精算してください。
同行者の費用負担Ｇが異なる場合には、費用負担方法で「所属Ｇコードと他Ｇコードで負担」を選択し、他Ｇコード欄に立替分を入力してください。
その際に、摘要欄に、「○○さんの宿泊代」とわかるように明記してください。"
18736,海外出張をするために日本でパスポートを取得・更新した場合の処理方法は？,"海外出張のためにパスポートを取得・更新する費用は、海外出張が具体的に予定されている状況で発行するものであれば「海外出張のため」と判断されるため、SAP立替精算にて処理できます。ただし、具体的に海外出張が予定されていない状況では「海外出張のため」とは見做されないため、処理出来ません。
なお、パスポート申請・増刷のために購入した収入印紙代・県証紙代は9238支払手数料雑口（不課税）、写真代は9329雑費（課税）、代理店を通して支払った場合の申請手続きの手数料は9239支払手数料雑口（課税）となります。"
18737,円貨払いがある場合は海外出張旅費に含めて精算してもよいか？,海外出張精算で円貨払いがある場合、「費用計算書」は外貨払い分のみですので円貨払い分は含められません。円貨払いはSAP立替金精算で処理下さい。
18738,ビザ（VISA）取得代の勘定科目は？,ビザ（VISA）取得代の勘定科目は、9238の支払手数料となります。　9311の入出国空港税ではありませんので、ご注意ください。
18739,海外出張申請を行う際に、該当する都市名がない。問合せ先は人事部となっているが具体的にはどこに聞けばよいか？,海外出張申請の際に、出張先の都市名が申請画面に無い場合には、名古屋THR労務厚生部労務グループにお問合せ下さい。
18740,海外出張精算で、交際費の領収書をなくしたが、どのように精算したらよいか,海外出張精算で領収書を紛失した場合、クレジットカード明細で対応出来ます。クレジットカード明細での精算となる理由を明記のうえ、上長印をもらって下さい。円貨精算となるのでSAP立替金精算です。
18741,海外出張旅費システムの3月計上の締日はいつになりますか？,海外出張旅費システムの3月計上締日は、4月の第一営業日午前中に上長承認完了および紙の計算書の提出が完了しているものとなります。
18742,経費支払と立替金精算の3月計上の締日はいつになりますか？,経費支払と立替金精算の3月計上の締日は、原則4月の第二営業日定時までに、紙の提出があったものとなります。
18743,海外出張の際に、お客様と同行して現地でケーブルカーに乗ったが、費用科目は何になりますか？,海外出張時にお客様と同行した際のケーブルカーの費用は、観光目的であれば9142の交際費となります。
18744,海外出張精算で適用するレートに５％以上の差が出た場合とは？,"海外出張精算で適用するレートに５％以上の差が出る場合とは、以下のケースとなります。
1.帰国日レートと両替時のレートとの差が５％以上（ただし、両替時等の手数料は自己負担となるため計算の対象外となります）
2.クレジットカードの場合は、帰国日レートとカード明細のレートとの差が５％以上（ネットで2日後くらいに明細を確認できます）"
18745,マレーシアのレートは？,"海外出張精算時のマレーシアのレートについては、TWINS内の社内RATE表を確認下さい
https://g-twins.toyotsu.co.jp/AP0246/SDB170.nsf/View_UNID/634E0DB111B42CEB492574520000B9EA?OpenDocument"
18746,台湾のレートは？,"海外出張精算時の台湾のレートについては、TWINS内の社内RATE表を確認下さい
https://g-twins.toyotsu.co.jp/AP0246/SDB170.nsf/View_UNID/634E0DB111B42CEB492574520000B9EA?OpenDocument"
18747,ＴＴＭ、TTS、TTBレートとは？,"ＴＴＭレート（＝仲値）とは、各銀行が為替の売買をする際に基準とするレートで、朝9時55分頃のインターバンク市場の為替レートを参考にして決定する対顧客レートの基準値となるレートのことをいいます。

TTSレートとは対顧客電信売相場のことで、銀行が顧客に対して外貨を売る（円を外貨に交換する）時に用いられる為替レートになります。

TTBレートとは対顧客電信買相場のことで、銀行が顧客に対して外貨を買い取る（外貨を円に交換する）時に用いられる為替レートになります。

"
18748,ＴＴＭレートの仲値とは？,ＴＴＭレート（＝仲値）というのは、各銀行が為替の売買をする際に基準とするレートで、朝9時55分頃のインターバンク市場の為替レートを参考にして決定する対顧客レートの基準値となるレートのことをいいます。
18749,ＴＴＳレートとは？,TTSレートとは対顧客電信売相場のことで、銀行が顧客に対して外貨を売る（円を外貨に交換する）時に用いられる為替レートになります。
18750,"レートはどこで確認するの？                                                      

","海外出張精算のレートは、下記1から3の順番にて適用してください。                                                      
1.　次のURLより確認してください
 http://www.murc-kawasesouba.jp/fx/index.php   
2.　（1）で確認できない場合は、TWINSの財務企画部ＴＦＮ                 
　　　《TOYOTSU FINANCIAL NEWS》に                                  
  　　　掲載されている『社内レート』を確認                          
TOYOTSU FINANCIAL NEWS 社内レート                         
  　　　　※（前月のTTMレートの平均値が、社内レートとなります）     
3.　（2）でも確認できない場合・・・・・                                
  　※　現地通貨に両替した際のレートを使用ください                    
  　　　　　　（エビデンス、両替書を添付）                          
  　※　次のOANDAのURLより確認してください
http://www.oanda.com/currency/classic-converter

"
18751,海外出張精算で、社内レート、TTSレート、OANDAでもレートの確認できないときはどうしたらよいですか？," 海外出張精算で、oandaにも掲載の無いレートがある場合には、両替したレート又はクレジットカードの決済レートを使用してください。

　【参考】　oandaは、英文のものです。日付け　（帰国日）を入力して、それぞれの項目に以下の様に入力してください。
　　　・左側・・　手元にある通貨（外貨）　を選択
　　　・右側・・　必要な通貨（Japanese Yen、ＪＰＹ）　を選択　
　　　・【Cｏｎｖｅｒｔ　Ｎｏｗ】　をクリック
　　　・「Yｏｕ　buy・・」のレートを見てください。　
　　You bｕｙ・・（顧客が買う）　・・・　銀行側のTTＳレート
　　You sell・・（顧客が売る）　・・・　銀行側のTTＢレート　
 　★TTSレートとは、銀行が顧客に外貨を売るレート。
　　　（顧客側からは銀行から外貨を買うレート。）"
18752,"海外出張精算で、交際費・会議費の勘定科目は何になりますか？5,000円で分けるのですか？","海外出張精算での交際費・会議費の勘定科目は、以下の通りとなります。
・9142交際費
・914Y交際費（50%損金算入）：\5,000超/人で社外の人を含む飲食
・914B交際費（損金算入）：\5,000以下/人で社外の人を含む飲食
・9152会議費：会議や打合せに伴う食事代等で、議事・内容は必ず記入しておく

※上記いずれの場合も、【交際費会議費精算明細書】を添付してください。"
18753,"海外出張精算で、日本円で支払ったものがある場合には費用計算書に含めていいですか？　
",海外出張精算で円貨払いがある場合、「費用計算書」は外貨払い分のみですので円貨払い分は含められません。円貨払いはSAP立替金精算で処理下さい。
18754,海外出張の際に、携帯電話を日本でレンタルしたが、勘定科目は何になりますか？,"海外出張の際に、携帯電話を日本でレンタルした場合の勘定科目は、以下の通りです。
日本の消費税が課税されている場合：9171通信費（国内電話・FAX）
日本の消費税が課税されていない場合：9178通信費（海外）"
18755,海外出張で、現地で本人が立て替えた費用を現地法人等が負担することとなる場合は？,"海外出張で、現地で立て替えた費用を豊田通商以外の会社が負担することとなる場合には、豊田通商負担の費用のみを費用計算書に入力してください。
先方負担分は、ＳＡＰの立替精算で勘定科目を1581営業短期債権で処理してください。"
18756,海外出張で、現地で立替えた費用の一部を取引先が負担してくれる場合の費用計算書の入力方法はどのようになりますか？,"海外出張で、現地で立て替えた費用を豊田通商以外の会社が負担することとなる場合には、豊田通商負担の費用のみを費用計算書に入力してください。
先方負担分は、ＳＡＰの立替精算で勘定科目を1581営業短期債権で処理してください。"
18757,海外出張はしていないが、現地で発生した交際費を豊田通商に負担にしてほしいと現地法人から依頼がありました。その処理は？,海外出張の有無に関わらず、本来豊田通商以外の会社が負担すべき費用を豊田通商が負担することは、合理的理由が無い限り費用精算できません。営業経理部にご相談ください。
18758,海外出張で、エアチケットキャンセル料の勘定科目は何になりますか？,"海外出張で、エアチケット代のキャンセル料の勘定科目は以下の通りです。
日本の消費税が課税されていない場合：9161海外出張旅費
日本の消費税が課税されている場合：9169旅費交通費雑口（課税）"
18759,海外出張で、取引先への献花代を支払った場合の勘定科目は何になりますか？,海外出張で、取引先への献花代を支払った場合の勘定科目は、9142交際費で処理してください。
18760,面接のため、面接対象者が海外から日本に来る際に、交通費を営業部負担で支給したい場合、勘定科目はどうなるか？,"面接を受けるために海外から来る場合の交通費の勘定科目は、以下の通りです。
日本の消費税が課税されていない場合：9322雑費（海外）
日本の消費税が課税されている場合：9329雑費（課税）

"
18761,海外出張で、危険地域での空港VIPｻｰﾋﾞｽ利用のための入場料の勘定科目は？,海外出張で、危険地域での空港VIPｻｰﾋﾞｽ利用のための入場料の勘定科目は、9322雑費（海外）で処理してください。
18762,海外出張時の日本の空港使用料の勘定科目は？,海外出張時の日本の空港使用料の勘定科目は、9162国内出張旅費で処理してください。
18763,海外出張時の日本の旅客保安サービス料（課税）　の勘定科目は？,海外出張時の日本の旅客保安サービス料（課税）の勘定科目は、9162国内出張旅費で処理してください。
18764,海外出張で、燃油サーチャージ料の勘定科目は？,海外出張で、燃油サーチャージ料の勘定科目は、9161海外出張旅費で処理してください。
18765,海外出張時の業務委託先以外の取引先の宿泊費を負担した場合の勘定科目は？,海外出張時の業務委託先以外の取引先の宿泊費を負担した場合の勘定科目は、9142交際費で処理してください。
18766,"ロンドンで毎年開催される晩餐会に出席するため、
現地でタキシードをレンタルする。勘定科目は？",海外での会合参加のために礼服をレンタルする費用は、9295賃借料（会議に際して一時的に借りた物品のレンタル代）として処理します。
18767,オーストラリアなどで海外出張時にクレジットカードを使用した場合、クレジットカード・サーチャージ（１〜６％程度）が発生しますが、この勘定科目は？,海外出張時にクレジットカードを使用した場合に発生するクレジットカード・サーチャージは、宿泊費等にかかる場合には9161海外出張旅費に含めて処理してもよいですが、個別に9238支払手数料で処理しても可とします。
18768,海外出張時のスーツケース宅配代金（自宅〜国内空港）の勘定科目は？,海外出張時のスーツケース宅配代金（自宅〜国内空港）の勘定科目は、9241荷造運賃（国内）にてＳＡＰ立替精算処理して下さい。なお、宅配便の送り状が兼領収書となっていますので、送り状の控えを添付してください。
18769,海外出張時に通訳を委託した場合の通訳料の勘定科目は？,海外出張時に通訳を委託した場合の通訳料の勘定科目は、9238支払手数料雑口（不課税）で処理してください。
18770,海外出張で、両替時に発生した手数料については、精算対象とはならないか？,"海外出張で、両替時に発生した手数料については、精算対象外（自己負担）となります。
"
18771,海外の展示会での飲食代で、お客様の分も立て替えた。勘定科目は？,海外の展示会での飲食代は「会議費」又は「交際費」として処理します。
18772,海外出張時に発生したクーリエ代の勘定科目は？,海外出張時に発生したクーリエ代の勘定科目は、9242荷造運賃（海外）で処理してください。
18773,交際費の損金算入とはどのような意味ですか？,交際費の勘定科目の中にある損金算入とは、税務上も費用（損金）と認めて法人税等の課税対象とはしない交際費をいいます。交際費は税務上費用とは認めない（これを損金不算入といいます）のが原則的な考えです。
18774,"国内で使用している携帯電話を海外出張で使用する場合の処理は？
また国内で携帯電話をレンタルし、海外で使用した携帯電話の使用料は？","海外出張システムで精算できるものは、海外において外貨で立替えた費用（個人の携帯電話を使用した場合）のみが対象となるため、国内の通信費は、ＴＯＳ担当で処理しています。
円貨の通信費は、ＴＯＳへ提出して下さい。
外貨の通信費は、費用計算書（勘定科目：9178通信費　海外）にて処理して下さい。"
18775,"海外出張時に現地で携帯電話本体を購入した場合、
その費用を精算できる？
","海外出張時に現地で携帯電話本体を購入した場合の取扱いについては、携帯電話の会社契約は、禁止されています。
個人で購入した場合は、原則、個人負担となります。

なお、出張時には外部の携帯電話レンタルサービスが
利用できます。

詳細は次のTTCライブラリーをご参照ください。
https://twins-a1.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/T013441?OpenDocument

"
18776,"ESTA（エスタ）の支払いはカード決済ですが、精算処理はどのようにしたらよいか？
","ESTA（エスタ）の精算処理方法については、次のTTCライブラリーに掲載していますので、詳細はこちらをご参照ください。
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/T033444?OpenDocument
"
18777,模倣サイトでESTA（エスタ）申請してしまい、申請手数料を余計に支払った場合の精算は？,"模倣サイトでESTA（エスタ）を申請して手数料を余計に支払った場合、正規の手数料金額である「１４ドル」との差額分は、自己負担となりますのでご注意ください。
なおESTAの精算処理方法については、次のTTCライブラリーに掲載していますので、こちらをご参照ください。
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/T033444?OpenDocument"
